# Name: PhysicalDice1
# PositionX.PositionY.PositionZ.RotationX.RotationY.RotationZ.RotationW
42,8.102.-66,9.0,3189003.-0,1892394.0,06514187.0,9264165
42,88469.102,1532.-67,105.0,3179207.-0,1885599.0,06520449.0,9268872
42,97594.102,3063.-67,31508.0,3178869.-0,1885437.0,06521435.0,9269015
43,06853.102,4462.-67,52266.0,3179292.-0,188573.0,0652065.0,9268815
43,16206.102,5714.-67,72873.0,3181257.-0,1886852.0,06519783.0,9267919
43,2541.102,6782.-67,93767.0,318291.-0,1887614.0,06519817.0,9267196
43,34581.102,7687.-68,14706.0,3184447.-0,1888301.0,06520494.0,9266524
43,43744.102,8432.-68,35651.0,318599.-0,1888993.0,0652118.0,9265847
43,52907.102,9017.-68,56595.0,3187549.-0,1889692.0,06521873.0,9265163
43,62069.102,9442.-68,77538.0,3189128.-0,1890402.0,06522574.0,926447
43,7123.102,9708.-68,98478.0,3190726.-0,1891121.0,06523277.0,9263768
43,80392.102,9814.-69,19416.0,3192344.-0,1891851.0,06523986.0,9263057
43,89553.102,9761.-69,40351.0,3193979.-0,1892588.0,0652471.0,9262338
43,98714.102,9547.-69,61283.0,3195629.-0,1893334.0,0652544.0,9261611
44,07876.102,9175.-69,82212.0,3197296.-0,1894089.0,06526174.0,9260876
44,17038.102,8643.-70,03137.0,3198975.-0,189485.0,06526925.0,9260135
44,262.102,7951.-70,24059.0,3200668.-0,1895619.0,06527687.0,9259387
44,35363.102,71.-70,44977.0,3202371.-0,1896393.0,06528446.0,9258634
44,44526.102,6089.-70,65891.0,3204086.-0,1897174.0,06529228.0,9257876
44,5369.102,4919.-70,86801.0,3205808.-0,189796.0,06530009.0,9257113
44,62856.102,359.-71,07706.0,3207539.-0,1898751.0,06530803.0,9256346
44,72021.102,2101.-71,28606.0,3209275.-0,1899545.0,06531601.0,9255576
44,81188.102,0453.-71,49503.0,3211018.-0,1900344.0,06532415.0,92548
44,90356.101,8645.-71,70393.0,3212764.-0,1901146.0,06533232.0,9254024
44,99526.101,6678.-71,91278.0,3214514.-0,190195.0,06534058.0,9253246
45,08696.101,4552.-72,12158.0,3216265.-0,1902757.0,06534894.0,9252465
